,,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2023-08-14,21:30,Matchweek 1,Mon,Away,L,1,3,Granada,1,7,4,57.1,0.14,0.25,14.1,0,0,0,0.9,0.9,0.14,0.1,0.1,Match Report
2023-08-20,21:30,Matchweek 2,Sun,Home,D,0,0,Betis,0,14,0,0.0,0.0,,17.1,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report
2023-08-28,21:30,Matchweek 3,Mon,Home,L,0,7,Rayo Vallecano,0,12,3,25.0,0.0,0.0,19.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
2023-09-16,16:15,Matchweek 5,Sat,Home,W,3,0,Valencia,3,12,8,66.7,0.25,0.38,16.2,1,0,0,1.3,1.3,0.11,1.7,1.7,Match Report
2023-09-24,21:00,Matchweek 6,Sun,Away,L,1,3,Real Madrid,1,20,5,25.0,0.05,0.2,21.5,1,0,0,1.0,1.0,0.05,0.0,0.0,Match Report
2023-09-28,21:30,Matchweek 7,Thu,Home,L,0,2,Osasuna,0,13,2,15.4,0.0,0.0,15.6,1,0,0,1.0,1.0,0.07,-1.0,-1.0,Match Report
2023-10-01,21:00,Matchweek 8,Sun,Away,L,2,3,Cádiz,2,8,4,50.0,0.25,0.5,21.8,0,0,0,0.8,0.8,0.11,1.2,1.2,Match Report
2023-10-08,16:15,Matchweek 9,Sun,Away,L,1,2,Real Sociedad,1,13,4,30.8,0.08,0.25,23.1,1,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report
2023-10-21,21:00,Matchweek 10,Sat,Home,L,0,3,Celta Vigo,0,16,3,18.8,0.0,0.0,17.7,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report
2023-10-29,21:00,Matchweek 11,Sun,Away,L,1,2,Alavés,1,8,1,12.5,0.13,1.0,17.4,0,0,0,0.5,0.5,0.06,0.5,0.5,Match Report
2023-11-03,20:00,Matchweek 12,Fri,Home,W,2,1,Las Palmas,2,9,3,33.3,0.22,0.67,19.5,0,0,0,0.4,0.4,0.05,1.6,1.6,Match Report
2023-11-12,21:00,Matchweek 13,Sun,Away,L,1,3,Villarreal,1,11,7,63.6,0.09,0.14,15.8,0,0,0,0.8,0.8,0.08,0.2,0.2,Match Report
2023-11-25,21:00,Matchweek 14,Sat,Away,L,0,1,Mallorca,0,8,1,12.5,0.0,0.0,16.0,0,0,0,1.1,1.1,0.13,-1.1,-1.1,Match Report
