,,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2023-08-12,21:30,Matchweek 1,Sat,Away,W,2,0,Athletic Club,2,14,8,57.1,0.14,0.25,16.0,2,0,0,0.9,0.9,0.07,1.1,1.1,Match Report
2023-08-19,19:30,Matchweek 2,Sat,Away,W,3,1,Almería,3,25,9,36.0,0.12,0.33,17.0,1,0,0,2.0,2.0,0.08,1.0,1.0,Match Report
2023-08-25,21:30,Matchweek 3,Fri,Away,W,1,0,Celta Vigo,1,9,2,22.2,0.11,0.5,19.4,0,0,1,1.4,0.6,0.06,-0.4,0.4,Match Report
2023-09-02,16:15,Matchweek 4,Sat,Home,W,2,1,Getafe,2,26,12,46.2,0.08,0.17,17.7,0,0,0,2.8,2.8,0.11,-0.8,-0.8,Match Report
2023-09-17,21:00,Matchweek 5,Sun,Home,W,2,1,Real Sociedad,2,17,8,47.1,0.12,0.25,15.9,1,0,0,2.0,2.0,0.13,0.0,0.0,Match Report
2023-09-24,21:00,Matchweek 6,Sun,Away,L,1,3,Atlético Madrid,1,20,5,25.0,0.05,0.2,21.5,1,0,0,1.0,1.0,0.05,0.0,0.0,Match Report
2023-09-27,19:00,Matchweek 7,Wed,Home,W,2,0,Las Palmas,2,21,9,42.9,0.1,0.22,16.4,0,0,0,1.7,1.7,0.08,0.3,0.3,Match Report
2023-09-30,18:30,Matchweek 8,Sat,Away,W,3,0,Girona,3,14,7,50.0,0.21,0.43,16.2,0,0,0,2.3,2.3,0.17,0.7,0.7,Match Report
2023-10-07,16:15,Matchweek 9,Sat,Home,W,4,0,Osasuna,4,18,8,44.4,0.22,0.5,16.0,0,0,1,3.2,2.6,0.15,0.8,1.4,Match Report
2023-10-21,18:30,Matchweek 10,Sat,Away,D,1,1,Sevilla,1,14,4,28.6,0.07,0.25,15.7,1,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report
2023-10-28,16:15,Matchweek 11,Sat,Away,W,2,1,Barcelona,2,13,4,30.8,0.15,0.5,21.9,0,0,0,1.1,1.1,0.08,0.9,0.9,Match Report
2023-11-05,21:00,Matchweek 12,Sun,Home,D,0,0,Rayo Vallecano,0,22,5,22.7,0.0,0.0,18.4,1,0,0,2.2,2.2,0.1,-2.2,-2.2,Match Report
2023-11-11,21:00,Matchweek 13,Sat,Home,W,5,1,Valencia,5,16,7,43.8,0.31,0.71,18.3,3,0,0,1.7,1.7,0.11,3.3,3.3,Match Report
2023-11-26,18:30,Matchweek 14,Sun,Away,W,3,0,Cádiz,3,14,5,35.7,0.21,0.6,18.8,1,0,0,1.6,1.6,0.11,1.4,1.4,Match Report
2023-12-02,18:30,Matchweek 15,Sat,Home,W,2,0,Granada,2,11,4,36.4,0.18,0.5,17.2,0,0,0,1.8,1.8,0.17,0.2,0.2,Match Report
